127.0.0.1 - - [01/Dec/2018:14:17:23 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:24 +0530] "GET /FrontendModule/ HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:27 +0530] "GET /FrontendModule/paper.gif HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:27 +0530] "GET /FrontendModule/resources/images/Ecommerce.png HTTP/1.1" 200 168660
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:27 +0530] "GET /FrontendModule/resources/images/ecommerce1.png HTTP/1.1" 200 61428
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:31 +0530] "GET /FrontendModule/home HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:32 +0530] "GET /FrontendModule/resources/images/Ecommerce.png HTTP/1.1" 200 168660
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:32 +0530] "GET /FrontendModule/resources/images/ecommerce4.png HTTP/1.1" 200 153427
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:39 +0530] "GET /FrontendModule/all/Product HTTP/1.1" 200 4028
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:39 +0530] "GET /FrontendModule/resources/images/Ecommerce.png HTTP/1.1" 200 168660
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:39 +0530] "GET /FrontendModule/resources/images/6.png HTTP/1.1" 200 48159
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:39 +0530] "GET /FrontendModule/resources/images/28.png HTTP/1.1" 200 17715
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:39 +0530] "GET /FrontendModule/resources/images/16.png HTTP/1.1" 200 14717
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:45 +0530] "GET /FrontendModule/all/Info?id=6 HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:45 +0530] "GET /FrontendModule/resources/images/Ecommerce.png HTTP/1.1" 200 168660
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:45 +0530] "GET /FrontendModule/resources/images/6.png HTTP/1.1" 200 48159
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:49 +0530] "GET /FrontendModule/login HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:54 +0530] "POST /FrontendModule/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:54 +0530] "GET /FrontendModule/all/Product HTTP/1.1" 200 4110
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:54 +0530] "GET /FrontendModule/resources/images/6.png HTTP/1.1" 200 48159
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:54 +0530] "GET /FrontendModule/resources/images/Ecommerce.png HTTP/1.1" 200 168660
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:55 +0530] "GET /FrontendModule/resources/images/16.png HTTP/1.1" 200 14717
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:55 +0530] "GET /FrontendModule/resources/images/28.png HTTP/1.1" 200 17715
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:57 +0530] "GET /FrontendModule/all/Info?id=6 HTTP/1.1" 200 2552
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:58 +0530] "GET /FrontendModule/resources/images/6.png HTTP/1.1" 200 48159
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:17:58 +0530] "GET /FrontendModule/resources/images/Ecommerce.png HTTP/1.1" 200 168660
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:18:01 +0530] "GET /FrontendModule/all/AdminPage HTTP/1.1" 200 4827
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:18:02 +0530] "GET /FrontendModule/resources/images/Ecommerce.png HTTP/1.1" 200 168660
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:18:05 +0530] "GET /FrontendModule/admin/AddProduct HTTP/1.1" 200 4808
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:18:05 +0530] "GET /FrontendModule/resources/images/Ecommerce.png HTTP/1.1" 200 168660
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:18:32 +0530] "GET /FrontendModule/admin/AddProduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:18:32 +0530] "GET /FrontendModule/login HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:18:45 +0530] "GET /FrontendModule/admin/AddProduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Dec/2018:14:18:45 +0530] "GET /FrontendModule/login HTTP/1.1" 200 1891
